PacketFormat,GameMajorVersion,GameMinorVersion,PacketVersion,PacketId,SessionUID,SessionTime,FrameIdentifier,PlayerCarIndex,SecondaryPlayerCarIndex,CarIndex,RLSuspensionPosition,RRSuspensionPosition,FLSuspensionPosition,FRSuspensionPosition,RLSuspensionVelocity,RRSuspensionVelocity,FLSuspensionVelocity,FRSuspensionVelocity,RLSuspensionAcceleration,RRSuspensionAcceleration,FLSuspensionAcceleration,FRSuspensionAcceleration,RLWheelSpeed,RRWheelSpeed,FLWheelSpeed,FRWheelSpeed,RLWheelSlip,RRWheelSlip,FLWheelSlip,FRWheelSlip,LocalVelocityX,LocalVelocityY,LocalVelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,AngularAccelerationX,AngularAccelerationY,AngularAccelerationZ,FrontWheelsAngle,WorldPositionX,WorldPositionY,WorldPositionZ,WorldVelocityX,WorldVelocityY,WorldVelocityZ,WorldForwardDirX,WorldForwardDirY,WorldForwardDirZ,WorldRightDirX,WorldRightDirY,WorldRightDirZ,gForceLateral,gForceLongitudinal,gForceVertical,Yaw,Pitch,Roll
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,7,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-571.705627,-2.963342,436.910553,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,8,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-573.183411,-2.963214,450.883606,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,9,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-568.637268,-2.95268,409.01059,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,10,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-577.612854,-2.962849,492.75473,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,11,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-576.081604,-2.977129,478.828339,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,12,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-567.858521,-2.95268,401.726898,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,13,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-573.842712,-2.982776,457.556305,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,14,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-570.19574,-2.953205,422.957672,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,15,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-575.302917,-2.977129,471.544769,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,16,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-572.404602,-2.963214,443.599396,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,17,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-579.902405,-2.983483,513.390503,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,18,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-570.926819,-2.963342,429.626221,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,19,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-574.621399,-2.982776,464.840179,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,20,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,16,1,0,13445084268873967469,2.256696,34,19,255,21,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,0,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-576.834167,-2.962849,485.470856,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,1,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-582.056274,-2.977555,534.645691,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,2,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-578.394409,-2.973376,499.425354,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,3,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-579.173218,-2.973376,506.709747,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,4,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-569.416992,-2.953205,415.673492,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,5,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-581.277588,-2.977555,527.362,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,6,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-580.681213,-2.983483,520.675049,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,7,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-571.705627,-2.963342,436.910553,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,8,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-573.183411,-2.963214,450.883606,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,9,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-568.637268,-2.95268,409.01059,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,10,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-577.612854,-2.962849,492.75473,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,11,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-576.081604,-2.977129,478.828339,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,12,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-567.858521,-2.95268,401.726898,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,13,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-573.842712,-2.982776,457.556305,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,14,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-570.19574,-2.953205,422.957672,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,15,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-575.302917,-2.977129,471.544769,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,16,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-572.404602,-2.963214,443.599396,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,17,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-579.902405,-2.983483,513.390503,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,18,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-570.926819,-2.963342,429.626221,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,19,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-574.621399,-2.982776,464.840179,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,20,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,16,1,0,13445084268873967469,2.313546,35,19,255,21,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,0,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-576.834167,-2.962849,485.470856,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,1,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-582.056274,-2.977555,534.645691,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,2,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-578.394409,-2.973376,499.425354,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,3,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-579.173218,-2.973376,506.709747,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,4,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-569.416992,-2.953205,415.673492,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,5,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-581.277588,-2.977555,527.362,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,6,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-580.681213,-2.983483,520.675049,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,7,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-571.705627,-2.963342,436.910553,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,8,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-573.183411,-2.963214,450.883606,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,9,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-568.637268,-2.95268,409.01059,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,10,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-577.612854,-2.962849,492.75473,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,11,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-576.081604,-2.977129,478.828339,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,12,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-567.858521,-2.95268,401.726898,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,13,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-573.842712,-2.982776,457.556305,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,14,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-570.19574,-2.953205,422.957672,0.0,0.0,0.0,-32592,-257,-3363,3364,-28,-32593,0.0,0.0,0.0,-1.673651,-0.007741,0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,15,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-575.302917,-2.977129,471.544769,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,16,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-572.404602,-2.963214,443.599396,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,17,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-579.902405,-2.983483,513.390503,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
2021,1,16,1,0,13445084268873967469,2.37051,36,19,255,18,-26.391018,-26.39101,-8.354651,-8.354646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-570.926819,-2.963342,429.626221,0.0,0.0,0.0,-32567,-257,-3602,3602,28,-32568,0.0,0.0,0.0,-1.680969,-0.00792,-0.000869
